Season,Name,Sex,Week_Evicted,Place,Number_of_Noms,Number,Evictee_name,Evictee_sex
2,Nicole,F,11,2,2,12,Sheryl,F
3,Amy,F,10,4,6,12,Lori,F
4,Jee,F,8,5,2,13,Amanda,F
5,Nakomis,F,10,4,3,14,Mike,M
6,Kaysar,M,6,10,3,14,Ashlea,F
7,Danielle,F,8,6,2,14,Alison,F
8,Amber,F,8,6,2,16,Carol,F
9,Allison,F,3,10,2,13,Jen,F
9,Ryan,M,11,2,3,13,Parker,M
10,Renny,F,8,5,2,13,Brian,M
11,Chima,F,6,8,2,13,Braden,M
12,Rachel,F,4,9,2,14,Annie,F
13,Porsche,F,11,2,3,16,Keith,M
14,Danielle,F,9,3,6,16,Jodi,F
15,Jessie,F,7,10,2,16,David,M
16,Poaola,F,2,15,2,17,Joey,M
17,Jackie,F,7,10,2,16,Jace,M
18,Tiffany,F,4,12,4,13,Glenn,M
18,Corey,M,12,4,4,13,,
18,Nicole,F,11,1,3,13,,
19,Jillian,F,2,15,2,17,Cameron,M
19,Christmas,F,11,3,3,17,,
20,Sam,F,12,5,4,16,Steve,M
21,Kathryn,F,7,12,3,16,Ovi,M
22,Kevin,M,8,9,3,16,Keesha,F
23,Alyssa,F,9,7,2,16,Travis,M
24,Taylor,F,12,1,6,16,Paloma,F
24,Terrance,M,9,7,4,16,,
